Customer ID,Churn Category
0015-UOCOJ,0
0016-QLJIS,0
0018-NYROU,0
0020-JDNXP,0
0022-TCJCI,2
0027-KWYKW,1
0048-LUMLS,0
0048-PIHNL,2
0052-DCKON,0
0052-YNYOT,3
0064-SUDOG,0
0080-EMYVY,0
0118-JPNOY,1
0121-SNYRK,1
0129-KPTWJ,0
0130-SXOUN,3
0137-UDEUO,0
0142-GVYSN,3
0151-ONTOV,0
0177-PXBAT,0
0191-ZHSKZ,2
0195-IESCP,0
0196-VULGZ,0
0201-MIBOL,1
0206-TBWLC,0
0207-MDKNV,0
0219-QAERP,0
0219-YTZUE,0
0224-HJAPT,1
0225-ZORZP,0
0235-KGSLC,0
0248-PGHBZ,0
0256-LTHVJ,2
0264-CNITK,0
0265-PSUAE,0
0270-THENM,1
0285-INHLN,0
0292-WEGCH,0
0297-RBCSG,0
0298-XACET,0
0303-UNCIP,0
0310-MVLET,5
0322-CHQRU,3
0326-VDYXE,5
0330-BGYZE,0
0334-ZFJSR,0
0345-HKJVM,0
0348-SDKOL,2
0362-RAOQO,2
0369-ZGOVK,0
0375-HVGXO,0
0384-LPITE,4
0384-RVBPI,0
0386-CWRGM,0
0396-YCHWO,0
0406-BPDVR,0
0422-OHQHQ,0
0428-AXXLJ,0
0436-TWFFZ,0
0439-IFYUN,0
0442-TDYUO,0
0455-ENTCR,0
0458-HEUZG,0
0461-CVKMU,0
0475-RIJEP,1
0485-ZBSLN,2
0489-WMEMG,0
0495-ZBNGW,1
0504-HHAPI,1
0505-SPOOW,0
0508-OOLTO,0
0512-FLFDW,0
0515-YPMCW,0
0516-WJVXC,0
0520-FDVVT,4
0536-ESJEP,0
0537-QYZZN,0
0549-CYCQN,0
0559-CKHUS,1
0562-HKHML,2
0567-XRHCU,0
0572-ZJKLT,1
0585-EGDDA,0
0601-WZHJF,0
0607-DAAHE,0
0618-XWMSS,0
0620-XEFWH,0
0625-AFOHS,0
0637-UBJRP,0
0637-YLETY,0
0639-TSIQW,1
0643-OKLRP,0
0654-HMSHN,0
0665-XHDJU,3
0667-NSRGI,3
0673-IGUQO,3
0674-EYYZV,0
0682-USIXD,0
0687-ZVTHB,0
0690-SRQID,0
0691-IFBQW,0
0697-ZMSWS,0
0701-TJSEF,1
0716-BQNDX,0
0734-OXWBT,0
0772-GYEQQ,0
0778-NELLA,1
0786-VSSUD,3
0795-XCCTE,1
0813-TAXXS,1
0835-JKADZ,3
0839-QNXME,0
0848-ZGQIJ,0
0867-LDTTC,0
0867-MKZVY,5
0870-VEMYL,0
0871-URUWO,0
0872-CASZJ,0
0872-JCPIB,0
0875-CABNR,0
0880-FVFWF,0
0880-TKATG,0
0885-HMGPY,0
0886-QGENL,1
0895-DQHEW,0
0895-LNKRC,0
0921-OHLVP,0
0925-VYDLG,0
0930-EHUZA,0
0931-MHTEM,2
0939-YAPAF,4
0946-CLJTI,0
0946-FKYTX,3
0956-SYCWG,0
0962-CQPWQ,0
0967-BMLBD,2
0980-FEXWF,0
0988-AADSA,0
0999-QXNSA,0
1022-RKXDR,0
1031-IIDEO,0
1032-MAELW,0
1035-IPQPU,0
1038-ZAGBI,0
1041-RXHRA,0
1045-LTCYT,0
1057-FOGLZ,1
1061-PNTHC,0
1063-DHQJF,0
1075-BGWOH,1
1080-BWSYE,0
1087-UDSIH,0
1088-CNNKB,2
1090-PYKCI,1
1095-JUDTC,0
1097-FSPVW,4
1099-GODLO,0
1106-HRLKZ,2
1116-FRYVH,2
1120-BMWUB,0
1150-FTQGN,0
1163-VIPRI,0
1169-WCVAK,0
1177-XZBJL,0
1184-PJVDB,0
1194-SPVSP,0
1197-BVMVG,0
1202-KKGFU,0
1212-GLHMD,0
1215-VFYVK,1
1222-KJNZD,0
1223-UNPKS,0
1226-JZNKR,0
1226-UDFZR,0
1230-QAJDW,0
1236-WFCDV,3
1240-KNSEZ,1
1258-YMZNM,0
1265-HVPZB,3
1271-SJBGZ,3
1293-BSEUN,5
1293-HHSHJ,0
1302-TPUBN,1
1303-SRDOK,0
1304-NECVQ,0
1328-EUZHC,0
1333-PBMXB,3
1343-EHPYB,0
1345-ZUKID,1
1346-UFHAX,0
1353-GHZOS,5
1353-LJWEM,1
1355-KUSBG,4
1360-JYXKQ,0
1371-OJCEK,0
1385-TQOZW,0
1393-IMKZG,0
1403-LKLIK,3
1410-RSCMR,0
1421-HCERK,4
1423-BMPBQ,0
1430-SFQSA,3
1431-CYWMH,0
1439-LCGVL,5
1442-OKRJE,0
1444-VVSGW,0
1448-PWKYE,0
1459-QNFQT,0
1465-LNTLJ,0
1465-WCZVT,3
1469-LBJQJ,1
1480-BKXGA,0
1481-ZUWZA,1
1488-PBLJN,0
1501-SGHBW,1
1550-LOAHA,0
1552-TKMXS,0
1555-DJEQW,0
1555-HAPSU,3
1559-DTODC,0
1565-RHDJD,0
1574-DYCWE,0
1575-KRZZE,0
1577-HKTFG,1
1583-IHQZE,3
1589-AGTLK,4
1591-XWLGB,1
1627-AFWVJ,0
1635-FJFCC,1
1635-NZATJ,0
1670-SVOWZ,0
1684-FLBGS,4
1685-BQULA,0
1696-MZVAU,0
1698-XFZCI,0
1703-MGIAB,0
1728-CXQBE,1
1729-VLAZJ,0
1730-VFMWO,1
1755-FZQEC,0
1766-GKNMI,1
1779-PWPMG,0
1791-PQHBB,1
1810-MVMAI,0
1813-JLKWR,0
1820-DJFPH,1
1842-EZJMK,0
1845-ZLLIG,0
1852-XEMDW,0
1862-QRWPE,0
1877-HKBQX,0
1891-UAWWU,0
1897-OKVMW,0
1899-VXWXM,0
1907-YLNYW,0
1918-ZBFQJ,4
1919-RTPQD,0
1926-QUZNN,0
1937-OTUKY,1
1960-UYCNN,0
1965-AKTSX,1
1972-XMUWV,1
1981-INRFU,0
1987-AUELQ,0
2000-DHJUY,3
2001-EWBQU,0
2017-CCBLH,1
2018-PZKMU,0
2038-OEQZH,0
2040-XBAVJ,0
2045-BMBTJ,0
2055-SIFSS,0
2057-ZBLPD,0
2065-MMKGR,0
2067-QYTCF,0
2085-JVGAD,1
2091-RFFBA,0
2105-PHWON,0
2108-YKQTY,0
2144-ESWKO,0
2150-OEGBV,0
2159-TURXX,0
2171-UDMFD,0
2187-PKZAY,0
2190-BCXEC,1
2207-QPJED,0
2209-XADXF,0
2212-LYASK,1
2219-MVUSO,0
2227-JRSJX,1
2234-EOFPT,0
2234-XADUH,0
2235-ZGKPT,0
2254-DLXRI,0
2267-FPIMA,0
2272-JKMSI,4
2275-RBYQS,1
2277-BKJKN,0
2300-RQGOI,3
2305-MRGLV,3
2308-STERM,0
2309-OSFEU,0
2332-TODQS,1
2346-DJQTB,0
2348-KCJLT,0
2351-RRBUE,0
2364-UFROM,0
2371-JUNGC,1
2378-HTWFW,0
2379-GYFLQ,0
2382-BCKQJ,4
2397-BRLOM,0
2402-TAIRZ,0
2404-JIBFC,0
2410-CIYFZ,3
2446-BEGGB,4
2452-MRMZF,3
2453-SAFNS,0
2460-NGXBJ,3
2466-FCCPT,4
2466-NEJOJ,0
2468-SJFLM,1
2474-BRUCM,0
2476-YGEFM,0
2478-EEWWM,0
2482-CZGBB,1
2495-INZWQ,1
2495-KZNFB,0
2506-CLAKW,3
2507-QZPQS,0
2511-ALLCS,0
2511-MORQY,1
2519-LBNQL,0
2528-HFYZX,5
2530-FMFXO,0
2541-YGPKE,0
2545-LXYVJ,2
2565-JSLRY,0
2578-JQPHZ,0
2587-YNLES,0
2592-YKDIF,0
2603-HVKCG,0
2607-FBDFF,0
2609-IAICY,1
2612-RRIDN,0
2625-TRCZQ,0
2626-VEEWG,0
2632-TACXW,1
2636-SJDOU,0
2637-FKFSY,3
2642-DTVCO,0
2649-HWLYB,0
2650-GYRYL,0
2669-QVCRG,3
2672-DZUOY,5
2672-HUYVI,0
2672-TGEFF,1
2673-CXQEU,0
2676-OXPPQ,0
2680-XKKNJ,0
2691-NZETQ,0
2692-BUCFV,0
2717-HVIZY,0
2720-FVBQP,0
2725-IWWBA,0
2725-KXXWT,1
2731-GJRDG,0
2754-SDJRD,1
2754-VDLTR,0
2773-MADBQ,0
2778-OCLGR,4
2782-LFZVW,0
2792-LSHWX,3
2798-NYLMZ,0
2800-VEQXM,3
2809-ILCYT,0
2809-ZMYOQ,0
2810-FTLEM,0
