Customer ID,Churn Category
0015-UOCOJ,0
0016-QLJIS,0
0018-NYROU,0
0020-JDNXP,0
0022-TCJCI,2
0027-KWYKW,1
0048-LUMLS,0
0048-PIHNL,5
0052-DCKON,0
0052-YNYOT,4
0064-SUDOG,0
0080-EMYVY,0
0118-JPNOY,1
0121-SNYRK,1
0129-KPTWJ,2
0130-SXOUN,3
0137-UDEUO,0
0142-GVYSN,5
0151-ONTOV,0
0177-PXBAT,0
0191-ZHSKZ,2
0195-IESCP,0
0196-VULGZ,0
0201-MIBOL,1
0206-TBWLC,0
0207-MDKNV,0
0219-QAERP,0
0219-YTZUE,0
0224-HJAPT,1
0225-ZORZP,0
0235-KGSLC,0
0248-PGHBZ,0
0256-LTHVJ,2
0264-CNITK,0
0265-PSUAE,0
0270-THENM,1
0285-INHLN,0
0292-WEGCH,0
0297-RBCSG,0
0298-XACET,0
0303-UNCIP,0
0310-MVLET,5
0322-CHQRU,0
0326-VDYXE,5
0330-BGYZE,0
0334-ZFJSR,0
0345-HKJVM,0
0348-SDKOL,5
0362-RAOQO,5
0369-ZGOVK,0
0375-HVGXO,0
0384-LPITE,5
0384-RVBPI,0
0386-CWRGM,0
0396-YCHWO,0
0406-BPDVR,0
0422-OHQHQ,0
0428-AXXLJ,0
0436-TWFFZ,0
0439-IFYUN,0
0442-TDYUO,0
0455-ENTCR,0
0458-HEUZG,0
0461-CVKMU,0
0475-RIJEP,1
0485-ZBSLN,3
0489-WMEMG,0
0495-ZBNGW,1
0504-HHAPI,1
0505-SPOOW,0
0508-OOLTO,0
0512-FLFDW,0
0515-YPMCW,0
0516-WJVXC,3
0520-FDVVT,4
0536-ESJEP,0
0537-QYZZN,0
0549-CYCQN,0
0559-CKHUS,0
0562-HKHML,2
0567-XRHCU,0
0572-ZJKLT,0
0585-EGDDA,0
0601-WZHJF,0
0607-DAAHE,0
0618-XWMSS,0
0620-XEFWH,0
0625-AFOHS,0
0637-UBJRP,0
0637-YLETY,5
0639-TSIQW,1
0643-OKLRP,0
0654-HMSHN,0
0665-XHDJU,5
0667-NSRGI,5
0673-IGUQO,4
0674-EYYZV,0
0682-USIXD,0
0687-ZVTHB,0
0690-SRQID,0
0691-IFBQW,0
0697-ZMSWS,0
0701-TJSEF,5
0716-BQNDX,2
0734-OXWBT,2
0772-GYEQQ,0
0778-NELLA,3
0786-VSSUD,3
0795-XCCTE,1
0813-TAXXS,1
0835-JKADZ,4
0839-QNXME,0
0848-ZGQIJ,2
0867-LDTTC,0
0867-MKZVY,5
0870-VEMYL,0
0871-URUWO,0
0872-CASZJ,0
0872-JCPIB,0
0875-CABNR,0
0880-FVFWF,2
0880-TKATG,0
0885-HMGPY,0
0886-QGENL,1
0895-DQHEW,0
0895-LNKRC,0
0921-OHLVP,0
0925-VYDLG,0
0930-EHUZA,0
0931-MHTEM,5
0939-YAPAF,4
0946-CLJTI,0
0946-FKYTX,4
0956-SYCWG,0
0962-CQPWQ,5
0967-BMLBD,4
0980-FEXWF,0
0988-AADSA,0
0999-QXNSA,0
1022-RKXDR,0
1031-IIDEO,0
1032-MAELW,0
1035-IPQPU,0
1038-ZAGBI,0
1041-RXHRA,0
1045-LTCYT,0
1057-FOGLZ,5
1061-PNTHC,0
1063-DHQJF,5
1075-BGWOH,1
1080-BWSYE,4
1087-UDSIH,0
1088-CNNKB,1
1090-PYKCI,1
1095-JUDTC,0
1097-FSPVW,4
1099-GODLO,4
1106-HRLKZ,5
1116-FRYVH,0
1120-BMWUB,0
1150-FTQGN,0
1163-VIPRI,0
1169-WCVAK,0
1177-XZBJL,0
1184-PJVDB,0
1194-SPVSP,0
1197-BVMVG,4
1202-KKGFU,0
1212-GLHMD,0
1215-VFYVK,1
1222-KJNZD,0
1223-UNPKS,0
1226-JZNKR,0
1226-UDFZR,2
1230-QAJDW,0
1236-WFCDV,0
1240-KNSEZ,1
1258-YMZNM,0
1265-HVPZB,4
1271-SJBGZ,2
1293-BSEUN,3
1293-HHSHJ,0
1302-TPUBN,4
1303-SRDOK,0
1304-NECVQ,0
1328-EUZHC,0
1333-PBMXB,1
1343-EHPYB,0
1345-ZUKID,1
1346-UFHAX,0
1353-GHZOS,5
1353-LJWEM,1
1355-KUSBG,4
1360-JYXKQ,0
1371-OJCEK,0
1385-TQOZW,5
1393-IMKZG,0
1403-LKLIK,4
1410-RSCMR,0
1421-HCERK,4
1423-BMPBQ,0
1430-SFQSA,4
1431-CYWMH,0
1439-LCGVL,5
1442-OKRJE,0
1444-VVSGW,0
1448-PWKYE,0
1459-QNFQT,2
1465-LNTLJ,0
1465-WCZVT,5
1469-LBJQJ,1
1480-BKXGA,0
1481-ZUWZA,2
1488-PBLJN,0
1501-SGHBW,1
1550-LOAHA,0
1552-TKMXS,0
1555-DJEQW,0
1555-HAPSU,4
1559-DTODC,0
1565-RHDJD,0
1574-DYCWE,0
1575-KRZZE,0
1577-HKTFG,4
1583-IHQZE,4
1589-AGTLK,2
1591-XWLGB,4
1627-AFWVJ,0
1635-FJFCC,5
1635-NZATJ,0
1670-SVOWZ,0
1684-FLBGS,4
1685-BQULA,0
1696-MZVAU,0
1698-XFZCI,0
1703-MGIAB,0
1728-CXQBE,1
1729-VLAZJ,0
1730-VFMWO,1
1755-FZQEC,0
1766-GKNMI,0
1779-PWPMG,0
1791-PQHBB,1
1810-MVMAI,0
1813-JLKWR,0
1820-DJFPH,1
1842-EZJMK,0
1845-ZLLIG,0
1852-XEMDW,0
1862-QRWPE,0
1877-HKBQX,0
1891-UAWWU,0
1897-OKVMW,2
1899-VXWXM,0
1907-YLNYW,0
1918-ZBFQJ,1
1919-RTPQD,0
1926-QUZNN,0
1937-OTUKY,1
1960-UYCNN,2
1965-AKTSX,1
1972-XMUWV,1
1981-INRFU,0
1987-AUELQ,0
2000-DHJUY,3
2001-EWBQU,0
2017-CCBLH,2
2018-PZKMU,0
2038-OEQZH,0
2040-XBAVJ,0
2045-BMBTJ,0
2055-SIFSS,0
2057-ZBLPD,0
2065-MMKGR,0
2067-QYTCF,0
2085-JVGAD,1
2091-RFFBA,0
2105-PHWON,0
2108-YKQTY,0
2144-ESWKO,0
2150-OEGBV,0
2159-TURXX,5
2171-UDMFD,0
2187-PKZAY,0
2190-BCXEC,1
2207-QPJED,0
2209-XADXF,0
2212-LYASK,1
2219-MVUSO,0
2227-JRSJX,0
2234-EOFPT,0
2234-XADUH,0
2235-ZGKPT,0
2254-DLXRI,0
2267-FPIMA,2
2272-JKMSI,1
2275-RBYQS,5
2277-BKJKN,0
2300-RQGOI,3
2305-MRGLV,3
2308-STERM,0
2309-OSFEU,0
2332-TODQS,1
2346-DJQTB,0
2348-KCJLT,0
2351-RRBUE,0
2364-UFROM,0
2371-JUNGC,1
2378-HTWFW,0
2379-GYFLQ,0
2382-BCKQJ,3
2397-BRLOM,0
2402-TAIRZ,0
2404-JIBFC,4
2410-CIYFZ,4
2446-BEGGB,2
2452-MRMZF,5
2453-SAFNS,0
2460-NGXBJ,5
2466-FCCPT,2
2466-NEJOJ,0
2468-SJFLM,1
2474-BRUCM,0
2476-YGEFM,0
2478-EEWWM,2
2482-CZGBB,5
2495-INZWQ,1
2495-KZNFB,0
2506-CLAKW,4
2507-QZPQS,0
2511-ALLCS,0
2511-MORQY,5
2519-LBNQL,0
2528-HFYZX,5
2530-FMFXO,0
2541-YGPKE,2
2545-LXYVJ,5
2565-JSLRY,0
2578-JQPHZ,0
2587-YNLES,0
2592-YKDIF,0
2603-HVKCG,2
2607-FBDFF,0
2609-IAICY,1
2612-RRIDN,0
2625-TRCZQ,0
2626-VEEWG,0
2632-TACXW,1
2636-SJDOU,2
2637-FKFSY,5
2642-DTVCO,0
2649-HWLYB,0
2650-GYRYL,2
2669-QVCRG,5
2672-DZUOY,3
2672-HUYVI,0
2672-TGEFF,3
2673-CXQEU,0
2676-OXPPQ,0
2680-XKKNJ,0
2691-NZETQ,0
2692-BUCFV,0
2717-HVIZY,0
2720-FVBQP,0
2725-IWWBA,2
2725-KXXWT,4
2731-GJRDG,0
2754-SDJRD,1
2754-VDLTR,0
2773-MADBQ,0
2778-OCLGR,3
2782-LFZVW,0
2792-LSHWX,5
2798-NYLMZ,0
2800-VEQXM,5
2809-ILCYT,0
2809-ZMYOQ,0
2810-FTLEM,0
