,Customer ID,Gender,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_0,Offer_1,Offer_2,Offer_3,Offer_4,Offer_5,Internet Type_0,Internet Type_1,Internet Type_2,Internet Type_3,Contract_0,Contract_1,Contract_2,Payment Method_0,Payment Method_1,Payment Method_2
0,0015-UOCOJ,0.0,1.0,0.0,1.0,0.0,-0.4843770175281787,-0.9094548935053992,5.0,1.0,1.4915156337028068,1.1005607654805745,1.0,0.5602159439612795,0.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5525403248958327,-0.4512537496059857,-0.246126164874075,-0.2614531442151687,1.329838948817837,0.0322517090767237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0016-QLJIS,1.0,0.0,0.0,0.0,0.0,-0.4843770175281787,-0.959462674103199,4.0,0.0,-0.6242133405586695,0.3527030476662022,1.0,-1.0694593412048323,1.0,1.0,-0.864903961455687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.3077467698597542,-0.0148932062469578,-0.246126164874075,-0.2614531442151687,-0.5742922598296153,-0.1859483194581791,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0018-NYROU,1.0,0.0,0.0,0.0,0.0,-0.4843770175281787,1.9896178396866349,4.0,0.4502677267564497,-6.64080181401619e-16,-5.0820580548929444e-15,0.90556547136135,-4.169812493201919e-15,0.370111958461788,0.7832224565958137,-9.08267998104506e-15,0.247282167775434,0.3032613986694791,0.3014765536264806,0.2502028233003407,0.3349018335226351,0.3415544377738114,0.3104007788414733,0.6981989290929742,0.6414084049975661,1.5043837234408032e-14,-4.7407946283393344e-15,-2.588298623692073e-16,9.961202721024284e-16,8.393235626048239e-16,-2.5848398727472736e-15,0.6086321596625021,0.06441668018822,0.1043323056952782,0.0512737303261398,0.0743144572448483,0.0970306668830115,0.1066039266590946,0.2028233003407431,0.473795229595976,0.2167775434041862,0.5670939477527178,0.194872626967386,0.2380334252798961,0.6123641083887718,0.3405808859321759,0.0470550056790524
3,0020-JDNXP,1.0,1.0,0.0,1.0,1.0,1.669458162144379,-2.7958236803800794e-16,5.0,1.0,0.0810296508618226,1.5991325773568226,1.0,-0.8988127144858679,1.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3764733439854964,-0.1902377139075842,-0.246126164874075,-0.2614531442151687,-0.1143008466644996,-0.1885814367915314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4,0022-TCJCI,0.0,0.0,0.0,1.0,0.0,-0.4843770175281787,0.4121385629394979,3.0,1.0,0.0810296508618226,0.9343701615218252,1.0,-1.1692219845174578,1.0,1.0,-9.008110030355818e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.89303003994874,1.2089440170289594,-0.246126164874075,-0.2614531442151687,-0.5637122168712959,0.7857609332154776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0027-KWYKW,0.0,0.0,1.0,1.0,0.0,-0.4843770175281787,1.1441916249224997,1.0,1.0,0.7862726422823147,-1.143012387962542,1.0,1.5007413904546496,1.0,1.0,0.1182714193407858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3489830689358003,-0.8703720830450519,-0.246126164874075,-0.2614531442151687,-0.6245474638816327,-0.8778710641298233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,0048-LUMLS,0.0,0.0,0.0,1.0,1.0,0.5925405723081001,-0.9740561994297432,5.0,1.0,0.4336511465720686,-1.3092029919212915,1.0,-0.4511934859384299,0.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.563104343750453,-1.0118840927532111,-0.246126164874075,-0.2614531442151687,-0.8803680935033611,-1.06558030559784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,0048-PIHNL,1.0,0.0,0.0,0.0,0.0,-0.4843770175281787,2.217932830381723,3.249582792508808,0.0,-0.6242133405586695,-5.018634871765108e-15,0.0,-1.5026392397991273,0.0,1.0,-0.5544275254146956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0472280896831672,-0.8877716534206064,-0.246126164874075,-0.2614531442151687,2.8703459278061322e-15,-0.9730546974638412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,0052-DCKON,0.5034885607658608,0.1966574720103845,0.1650170371572286,0.4872626967386013,0.2333279247119909,-5.4187098135201535e-17,-0.9895053711923716,3.0,0.0,-0.6242133405586695,-0.8937264820244181,1.0,0.3245923324531706,0.0,1.0,2.032876108260233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9015673372543873e-14,-0.6927121286807019,-0.246126164874075,-0.2614531442151687,-0.5314430858484216,-0.7097109397286135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,0052-YNYOT,0.0,0.0,0.0,0.0,0.0,-0.4843770175281787,1.13810702804368,2.0,0.0,-0.6242133405586695,-0.2289640661894205,1.0,-0.7747657435247743,1.0,1.0,-9.008110030355818e-15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0602936718135596,0.2040851077430625,-0.2461261648741354,-0.2614531442151687,-0.5396305963650301,-0.0023844586568586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
