Customer ID,Gender,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_0,Offer_1,Offer_2,Offer_3,Offer_4,Offer_5,Internet Type_0,Internet Type_1,Internet Type_2,Internet Type_3,Contract_0,Contract_1,Contract_2,Payment Method_0,Payment Method_1,Payment Method_2
0002-ORFBO,1,0,0,1,0,-0.484377018,-0.772694071,1,0.450267727,-6.64E-16,-5.08E-15,0.905565471,-4.17E-15,0.370111958,0.783222457,-9.08E-15,0.247282168,0.303261399,0.301476554,0.250202823,0.334901834,0.341554438,0.310400779,0.698198929,0.641408405,1.50E-14,-4.74E-15,-2.59E-16,9.96E-16,8.39E-16,-2.58E-15,0.60863216,0.06441668,0.104332306,0.05127373,0.074314457,0.097030667,0.106603927,0.2028233,0.47379523,0.216777543,0.567093948,0.194872627,0.238033425,0.612364108,0.340580886,0.047055006
0014-BMAQU,1,0,1,1,0,-0.484377018,0.287927222,3.249582793,1,-0.271591845,-0.81063118,1,-1.406158262,0,1,-0.761411816,0,0,0,0,0,1,0,1,1,0.866619993,-0.495157317,-0.246126165,-0.261453144,-0.876653056,-0.655529213,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0019-GFNTW,1,0,0,1,0,-0.484377018,-0.911641546,1,1,0.433651147,-0.893726482,1,-0.747856083,1,1,0.377001783,0,1,0,0,0,0,0,1,1,0.565545455,-0.617651191,-0.246126165,-0.261453144,-0.747540463,-0.714261963,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0021-IKXGC,0,0,0,0,0,-0.484377018,-1.048497439,2,0.450267727,-6.64E-16,-5.08E-15,0.905565471,-4.17E-15,0.370111958,0.783222457,-9.08E-15,0.247282168,0.303261399,0.301476554,0.250202823,0.334901834,0.341554438,0.310400779,0.698198929,0.641408405,1.50E-14,-4.74E-15,-2.59E-16,9.96E-16,8.39E-16,-2.58E-15,0.60863216,0.06441668,0.104332306,0.05127373,0.074314457,0.097030667,0.106603927,0.2028233,0.47379523,0.216777543,0.567093948,0.194872627,0.238033425,0.612364108,0.340580886,0.047055006
0023-HGHWL,0,0,0,0,0,-0.484377018,0.44741021,2,0.450267727,-6.64E-16,-5.08E-15,0.905565471,-4.17E-15,0.370111958,0.783222457,-9.08E-15,0.247282168,0.303261399,0.301476554,0.250202823,0.334901834,0.341554438,0.310400779,0.698198929,0.641408405,1.50E-14,-4.74E-15,-2.59E-16,9.96E-16,8.39E-16,-2.58E-15,0.60863216,0.06441668,0.104332306,0.05127373,0.074314457,0.097030667,0.106603927,0.2028233,0.47379523,0.216777543,0.567093948,0.194872627,0.238033425,0.612364108,0.340580886,0.047055006
0023-UYUPN,0,1,0,1,0,-0.484377018,-0.587731834,3.249582793,1,0.786272642,-1.184560039,0,-1.50263924,0,1,-9.01E-15,0,1,0,0,1,0,1,1,1,1.90E-14,-0.930528737,-0.246126165,-0.261453144,-0.899628581,-1.006893813,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0040-HALCW,1,0,1,1,0,-0.484377018,-1.020403715,3.249582793,0,-0.624213341,1.391394322,1,-0.852869392,0,1,0.273509637,0,1,1,1,0,0,0,1,1,1.636032699,2.320560755,-0.246126165,-0.261453144,-0.114060391,1.798603749,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0083-PIVIK,0,0,0,1,0,-0.484377018,-1.051729881,3.249582793,1,-0.271591845,-1.018369435,1,1.525025718,0,0,-1.020142179,0,0,0,0,0,0,0,0,1,-1.573668363,-0.95570641,-0.246126165,-0.261453144,-0.455940052,-0.895505834,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0094-OIFMO,0,0,0,0,1,1.669458162,-0.580268695,2,0,-0.624213341,-1.184560039,1,0.426980308,0,1,-0.140458944,0,0,0,0,0,0,0,1,1,0.201086805,-0.90024809,2.636508836,-0.261453144,-0.758240734,-0.948801552,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0103-CSITQ,1,1,0,0,0,-0.484377018,1.142147581,3,0,-0.624213341,-1.309202992,1,1.421981409,0,1,0.377001783,0,0,0,1,0,0,0,1,1,0.403563833,-0.98677386,-0.246126165,-0.261453144,-0.846055091,-1.035552093,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0104-PPXDV,1,1,0,0,0,-0.484377018,0.325480593,1,0,-0.624213341,-5.02E-15,0,-1.50263924,0,1,2.032876108,0,1,0,0,1,0,1,0,1,-0.885246467,-0.07158793,-0.246126165,3.158405331,-0.899628581,-0.298638625,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0112-QAWRZ,0,0,0,1,0,-0.484377018,1.663854227,2,1,-0.271591845,-1.309202992,1,-0.409188162,0,0,-1.020142179,0,0,0,0,0,0,0,0,1,-1.529651617,-1.011456972,-0.246126165,-0.261453144,-0.879598636,-1.065014541,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
0129-QMPDR,1,0,0,0,0,-0.484377018,-2.80E-16,1,0,-0.624213341,-0.852178831,1,-0.296298856,0,1,-0.864903961,1,0,1,0,0,0,0,1,1,0.607801531,-0.634870921,-0.246126165,-0.261453144,-0.634454231,-0.694421068,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0136-IFMYD,0,1,0,1,0,-0.484377018,-2.80E-16,1,1,-0.271591845,-0.478249972,1,1.025556168,0,1,2.032876108,1,0,1,0,1,1,0,1,1,1.407145624,-0.031663335,-0.246126165,-0.261453144,0.072917823,-0.007672043,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0164-APGRB,0,0,0,0,0,-0.484377018,-0.950716066,3.249582793,0,-0.624213341,-1.143012388,1,0.093563053,0,1,0.118271419,1,0,0,1,0,0,0,0,0,-0.372891553,-0.904092181,2.805293827,0.166029165,-0.753431624,-0.947314196,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0174-QRVVY,1,1,0,0,0,-0.484377018,-2.80E-16,2,0,-0.624213341,1.432941973,1,0.721017573,1,1,2.65382898,1,1,1,1,0,1,1,1,0,1.822663699,2.464545572,-0.246126165,-0.261453144,1.8294935,2.487772395,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0186-CAERR,0.503488561,0.196657472,0.165017037,0.487262697,0.233327925,-5.42E-17,0.683235875,2,1,-0.271591845,-1.059917086,1,-0.240510535,0,1,1.6706536,0,1,0,0,1,0,0,1,1,1.90E-14,-0.747181326,3.211972624,-0.261453144,-0.737789992,-0.823148481,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0196-JTUQI,1,0,1,1,0,-0.484377018,-0.964929304,2,1,-0.271591845,-0.852178831,1,-1.045175014,0,1,-0.036966799,0,0,0,0,0,1,0,1,1,0.563784786,-0.593687442,-0.246126165,-0.261453144,-0.799070082,-0.710547132,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0201-OAMXR,1,0,0,1,0,-0.484377018,-2.80E-16,1,1,0.433651147,0.02032184,1,0.684262915,0,1,-9.01E-15,0,0,1,1,0,1,1,1,1,0.333137041,0.060415012,-0.246126165,-0.261453144,0.422347787,0.168618721,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0214-JHPFW,0,0,1,1,0,-0.484377018,-1.045407605,2,0.450267727,-6.64E-16,-5.08E-15,0.905565471,-4.17E-15,0.370111958,0.783222457,-9.08E-15,0.247282168,0.303261399,0.301476554,0.250202823,0.334901834,0.341554438,0.310400779,0.698198929,0.641408405,1.50E-14,-4.74E-15,-2.59E-16,9.96E-16,8.39E-16,-2.58E-15,0.60863216,0.06441668,0.104332306,0.05127373,0.074314457,0.097030667,0.106603927,0.2028233,0.47379523,0.216777543,0.567093948,0.194872627,0.238033425,0.612364108,0.340580886,0.047055006
0215-BQKGS,0,0,0,0,0,-0.484377018,-0.420880779,2,0,-0.624213341,-1.309202992,1,0.238612686,0,1,0.532240001,0,0,0,0,0,0,0,1,0,-0.705658147,-1.000936301,-0.246126165,-0.261453144,-0.867732156,-1.053176188,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
