Customer ID,Gender,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_0,Offer_1,Offer_2,Offer_3,Offer_4,Offer_5,Internet Type_0,Internet Type_1,Internet Type_2,Internet Type_3,Contract_0,Contract_1,Contract_2,Payment Method_0,Payment Method_1,Payment Method_2
0027-KWYKW,0,0,1,1,0,-0.484377018,1.144191625,1,1,0.786272642,-1.143012388,1,1.50074139,1,1,0.118271419,0,0,0,0,0,0,0,1,1,0.348983069,-0.870372083,-0.246126165,-0.261453144,-0.624547464,-0.877871064,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0052-YNYOT,0,0,0,0,0,-0.484377018,1.138107028,2,0,-0.624213341,-0.228964066,1,-0.774765744,1,1,-9.01E-15,0,0,0,0,1,1,1,1,1,1.060293672,0.204085108,-0.246126165,-0.261453144,-0.539630596,-0.002384459,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0118-JPNOY,1,0,1,1,0,-0.484377018,2.476052839,1,1,-0.271591845,-0.935274133,1,-0.772796744,0,1,0.532240001,0,1,1,1,1,0,0,0,1,0.98810621,-0.600926023,-0.246126165,4.01336995,-0.765935311,-0.670886692,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0121-SNYRK,1,1,0,0,0,-0.484377018,-1.036470853,1,0,-0.624213341,-1.309202992,1,-0.566708126,0,1,1.360177164,0,0,0,0,0,1,1,1,1,0.841970615,-0.981176324,-0.246126165,-0.261453144,-0.882484102,-1.041903599,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0130-SXOUN,0,1,0,0,0,-0.484377018,0.301570029,2,0,-0.624213341,-0.81063118,1,-1.106870332,1,1,1.463669309,0,0,0,0,0,0,0,1,1,1.90E-14,-0.571544578,-3.25E-16,9.87E-16,-0.805382039,-0.694890759,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
0142-GVYSN,0,0,0,0,0,-0.484377018,-0.225080352,2,0,-0.624213341,-1.101464737,1,1.372100087,1,1,-0.761411816,0,0,0,0,1,1,1,1,1,1.025080276,-0.779732461,-0.246126165,-0.261453144,-0.583670025,-0.794038301,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0201-MIBOL,0.503488561,0.196657472,0.165017037,0.487262697,0.233327925,-5.42E-17,-0.182202959,1,0,-0.624213341,0.311155397,1,0.832594214,1,1,-0.606173598,0,0,1,0,1,1,1,1,0,1.421230983,0.8368315,-0.246126165,-0.261453144,0.811452912,0.898255534,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0224-HJAPT,0,1,0,0,0,-0.484377018,-0.341210588,1,1,-0.271591845,-1.184560039,1,1.40360408,0,1,2.032876108,0,0,0,0,0,1,1,0,1,0.577870144,-0.884781805,-0.246126165,1.448476094,-0.686681171,-0.893431364,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0256-LTHVJ,0.503488561,0.196657472,0.165017037,0.487262697,0.233327925,-5.42E-17,-1.051729881,2,0.450267727,-6.64E-16,-5.08E-15,0.905565471,-4.17E-15,0.370111958,0.783222457,-9.08E-15,0.247282168,0.303261399,0.301476554,0.250202823,0.334901834,0.341554438,0.310400779,0.698198929,0.641408405,1.50E-14,-4.74E-15,-2.59E-16,9.96E-16,8.39E-16,-2.58E-15,0.60863216,0.06441668,0.104332306,0.05127373,0.074314457,0.097030667,0.106603927,0.2028233,0.47379523,0.216777543,0.567093948,0.194872627,0.238033425,0.612364108,0.340580886,0.047055006
0270-THENM,0.503488561,0.196657472,0.165017037,0.487262697,0.233327925,-5.42E-17,-0.566530816,1,0,-0.624213341,-1.309202992,1,-1.395656932,0,1,-9.01E-15,0,1,0,0,1,0,0,0,1,0.699356361,-0.982997209,-0.246126165,0.166029165,-0.897668868,-1.044280521,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0310-MVLET,1,0,0,0,0,-0.484377018,0.517858434,3,0,-0.624213341,-1.309202992,1,-1.42847359,0,1,-0.709665743,0,0,0,0,0,1,1,1,1,1.90E-14,-2.45E-15,-3.25E-16,-0.261453144,-0.898270007,-1.045686037,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
