,Churn Category
0,1
1,1
2,3
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,3
15,4
16,5
17,2
18,1
19,2
20,1
21,2
22,4
23,1
24,2
25,1
26,1
27,1
28,3
29,1
30,1
31,1
32,1
33,4
34,1
35,2
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,4
45,2
46,1
47,1
48,3
49,1
50,1
51,1
52,1
53,2
54,1
55,1
56,1
57,1
58,1
59,2
60,1
61,1
62,1
63,1
64,1
65,4
66,1
67,1
68,1
69,1
70,1
71,1
72,5
73,1
74,3
75,4
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,2
84,3
85,1
86,1
87,2
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,4
96,2
97,1
98,1
99,3
100,1
101,2
102,4
103,2
104,1
105,1
106,1
107,4
108,1
109,1
110,4
111,1
112,1
113,4
114,1
115,2
116,2
117,1
118,1
119,1
120,1
121,4
122,1
123,2
124,1
125,1
126,1
127,1
128,1
129,5
130,1
131,1
132,1
133,1
134,2
135,1
136,2
137,5
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,3
148,1
149,1
150,1
151,5
152,1
153,2
154,4
155,4
156,1
157,1
158,1
159,1
160,2
161,1
162,1
163,2
164,1
165,1
166,1
167,1
168,5
169,1
170,1
171,1
172,3
173,3
174,1
175,1
176,4
177,1
178,2
179,2
180,1
181,2
182,3
183,2
184,1
185,1
186,2
187,3
188,4
189,1
190,1
191,2
192,1
193,4
194,1
195,4
196,2
197,3
198,1
199,1
200,1
201,1
202,2
203,1
204,1
205,1
206,1
207,2
208,1
209,3
210,1
211,1
212,1
213,2
214,3
215,2
216,2
217,1
218,4
219,1
220,4
221,1
222,2
223,1
224,1
225,1
226,4
227,1
228,1
229,3
230,1
231,1
232,1
233,1
234,1
235,3
236,1
237,3
238,1
239,1
240,1
241,1
242,2
243,5
244,5
245,2
246,1
247,1
248,1
249,3
250,1
251,4
252,1
253,1
254,1
255,1
256,3
257,4
258,1
259,4
260,1
261,1
262,3
263,1
264,3
265,1
266,3
267,1
268,2
269,3
270,1
271,1
272,2
273,1
274,1
275,1
276,2
277,1
278,1
279,1
280,2
281,3
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,3
293,5
294,1
295,2
296,1
297,1
298,1
299,1
300,2
301,2
302,1
303,1
304,1
305,1
306,1
307,2
308,1
309,1
310,1
311,4
312,1
313,1
314,2
315,2
316,4
317,4
318,1
319,1
320,2
321,1
322,1
323,1
324,1
325,2
326,1
327,2
328,2
329,2
330,3
331,3
332,4
333,1
334,1
335,4
336,3
337,1
338,3
339,4
340,1
341,4
342,1
343,1
344,2
345,1
346,1
347,1
348,2
349,3
350,1
351,2
352,3
353,1
354,3
355,1
356,1
357,1
358,5
359,1
360,3
361,1
362,1
363,1
364,5
365,1
366,1
367,4
368,1
369,2
370,4
371,2
372,1
373,1
374,1
375,1
376,1
377,2
378,4
379,1
380,1
381,1
382,1
383,1
384,1
385,4
386,1
387,1
388,2
389,1
390,1
391,5
392,1
393,1
394,2
395,5
396,1
397,1
398,1
399,4
400,2
401,1
402,5
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,4
411,1
412,1
413,1
414,3
415,1
416,1
417,2
418,1
419,3
420,1
421,1
422,1
423,2
424,1
425,1
426,1
427,3
428,1
429,4
430,3
431,1
432,1
433,1
434,1
435,3
436,2
