Customer ID,Churn Category
0002-ORFBO,1
0003-MKNFE,0
0011-IGKFF,0
0013-EXCHZ,0
0013-MHZWF,0
0013-SMEOE,0
0014-BMAQU,1
0017-DINOC,0
0017-IUDMW,0
0019-EFAEP,0
0019-GFNTW,2
0021-IKXGC,4
0023-HGHWL,2
0023-UYUPN,4
0023-XUOPT,0
0032-PGELS,0
0040-HALCW,3
0042-JVWOJ,0
0042-RLHYP,0
0056-EPFBG,0
0057-QBUQH,0
0058-EVZWM,0
0060-FUALY,0
0064-YIJGF,0
0071-NDAFP,0
0074-HDKDG,0
0076-LVEPS,0
0078-XZMHT,0
0080-OROZO,0
0082-OQIQY,0
0083-PIVIK,4
0089-IIQKO,0
0093-EXYQL,0
0094-OIFMO,5
0096-FCPUF,0
0098-BOWSO,0
0100-DUVFC,0
0103-CSITQ,1
0104-PPXDV,2
0107-YHINA,0
0112-QAWRZ,3
0112-QWPNC,0
0114-PEGZZ,0
0117-LFRMW,0
0122-OAHPZ,0
0125-LZQXK,0
0128-MKWSG,0
0129-QMPDR,2
0134-XWXCE,0
0135-NMXAP,0
0136-IFMYD,3
0137-OCGAB,0
0139-IVFJG,0
0141-YEAYS,0
0147-ESWWR,0
0156-FVPTA,0
0164-APGRB,1
0168-XZKBB,0
0174-QRVVY,5
0178-CIIKR,0
0178-SZBHO,0
0181-RITDD,0
0186-CAERR,2
0187-QSXOE,0
0187-WZNAB,0
0188-GWFLE,0
0191-EQUUH,0
0196-JTUQI,1
0201-OAMXR,1
0203-HHYIJ,0
0206-OYVOC,0
0214-JHPFW,4
0215-BQKGS,3
0218-QNVAS,0
0220-EBGCE,0
0221-NAUXK,0
0221-WMXNQ,0
0222-CNVPT,0
0224-NIJLP,0
0224-RLWWD,0
0228-MAUWC,4
0229-LFJAF,0
0233-FTHAV,3
0234-TEVTT,0
0236-HFWSV,0
0237-YFUTL,0
0239-OXEXL,1
0244-LGNFY,0
0247-SLUJI,0
0253-ZTEOB,0
0257-KXZGU,0
0257-ZESQC,0
0258-NOKBL,0
0259-GBZSH,5
0260-ZDLGK,0
0263-FJTQO,0
0265-EDXBD,0
0266-CLZKZ,0
0266-GMEAO,0
0268-QKIWO,4
0269-XFESX,0
0274-JKUJR,0
0277-BKSQP,0
0277-ORXQS,0
0278-YXOOG,2
0280-XJGEX,0
0281-CNTZX,0
0282-NVSJS,3
0295-QVKPB,1
0301-FIDRB,0
0302-JOIVN,1
0305-SQECB,0
0308-GIQJT,0
0308-IVGOK,0
0310-SUCIN,4
0311-QYWSS,0
0311-UNPFF,1
0315-LVCRK,0
0318-QUUOB,0
0320-DWVTU,0
0320-JDNQG,0
0322-YINQP,0
0323-XWWTN,0
0324-BRPCJ,0
0325-XBFAC,0
0327-WFZSY,1
0328-GRPMV,0
0330-IVZHA,4
0334-GDDSO,0
0336-PIKEI,0
0337-CNPZE,1
0343-QLUZP,0
0345-XMMUG,0
0347-UBKUZ,1
0354-VXMJC,2
0356-ERHVT,0
0356-OBMAC,0
0357-NVCRI,0
0361-HJRDX,0
0362-ZBZWJ,0
0363-QJVFX,0
0363-SVHYR,5
0365-BZUWY,0
0365-GXEZS,0
0366-NQSHS,1
0373-AIVNJ,0
0374-FIUCA,0
0374-IOEGQ,0
0376-OIWME,0
0376-YMCJC,0
0377-JBKKT,0
0378-CJKPV,0
0378-NHQXU,0
0378-TOVMS,1
0378-XSZPU,0
0380-ZCSBI,3
0383-CLDDA,0
0388-EOPEX,0
0390-DCFDQ,0
0392-BZIUW,0
0396-UKGAI,5
0397-GZBBC,1
0397-ZXWQF,0
0402-CQAJN,2
0402-OAMEN,0
0404-AHASP,0
0407-BDJKB,3
0409-WTMPL,1
0410-IPFTY,0
0411-EZJZE,0
0412-UCCNP,0
0419-YAAPX,0
0420-BWTPW,0
0420-TXVSG,1
0422-UXFAP,3
0426-TIRNE,1
0428-IKYCP,0
0430-IHCDJ,0
0432-CAJZV,0
0434-CSFON,0
0440-EKDCF,0
0440-MOGPM,0
0440-QEXBZ,1
0440-UEDAI,0
0442-ZXKVS,0
0454-OKRCT,0
0459-SPZHJ,0
0463-TXOAK,1
0463-WZZKO,0
0463-ZSDNT,0
0464-WJTKO,1
0468-YRPXN,0
0471-ARVMX,0
0471-LVHGK,0
0479-HMSWA,1
0480-BIXDE,3
0480-KYJVA,5
0481-SUMCB,0
0484-FFVBJ,0
0484-JPBRU,0
0486-LGCCH,0
0487-CRLZF,0
0487-VVUVK,0
0488-GSLFR,4
0491-KAPQG,0
0496-AHOOK,1
0506-LVNGN,3
0506-YLVKJ,0
0508-SQWPL,0
0513-RBGPE,0
0516-OOHAR,0
0516-VRYBW,5
0519-DRGTI,0
0523-VNGTF,1
0524-IAVZO,0
0526-SXDJP,0
0529-ONKER,0
0530-IJVDB,0
0531-XBKMM,0
0531-ZZJWQ,2
0533-BNWKF,0
0533-UCAAU,0
0536-ACXIP,0
0536-BGFMZ,0
0541-FITGH,0
0547-HURJB,0
0557-ASKVU,0
0562-FGDCR,1
0562-KBDVM,0
0564-JJHGS,0
0564-MUUQK,0
0565-IYCGT,0
0565-JUPYD,0
0567-GGCAC,2
0575-CUQOV,0
0576-WNXXC,0
0577-WHMEV,0
0578-SKVMF,0
0580-PIQHM,0
0581-BXBUB,0
0581-MDMPW,1
0582-AVCLN,4
0584-BJQGZ,1
0587-DMGBH,0
0594-UFTUL,1
0595-ITUDF,0
0596-BQCEQ,1
0602-DDUML,0
0603-OLQDC,0
0604-THJFP,0
0607-MVMGC,0
0611-DFXKO,5
0612-RTZZA,3
0616-ATFGB,0
0617-AQNWT,0
0617-FHSGK,1
0619-OLYUR,0
0620-DLSLK,0
0621-CXBKL,5
0621-HJWXJ,0
0621-TSSMU,0
0621-TWIEM,0
0623-GDISB,0
0623-IIHUG,0
0626-QXNGV,0
0628-CNQRM,0
0634-SZPQA,0
0635-WKOLD,2
0637-KVDLV,3
0641-EVBOJ,5
0644-OQMDK,0
0650-BWOZN,1
0654-PQKDW,0
0657-DOGUM,4
0661-KBKPA,3
0661-KQHNK,0
0661-WCQNQ,0
0661-XEYAN,0
0666-UXTJO,0
0670-ANMUU,0
0670-KDOMA,0
0674-DGMAQ,0
0674-GCDXG,4
0675-NCDYU,0
0679-IDSTG,0
0679-TDGAK,3
0680-DFNNY,2
0685-MLYYM,0
0689-DSXGL,0
0689-NKYLF,0
0691-JVSYA,0
0696-UKTOX,0
0699-NDKJM,0
0702-PGIBZ,0
0704-VCUMB,0
0707-HOVVN,0
0708-LGSMF,4
0708-SJDIS,0
0709-TVGUR,0
0719-SYFRB,0
0722-SVSFK,3
0722-TROQR,0
0723-DRCLG,0
0723-FDLAY,1
0723-VSOBE,1
0725-CXOTM,0
0727-BMPLR,0
0727-BNRLG,0
0727-IWKVK,0
0730-BGQGF,2
0731-EBJQB,0
0732-OCQOC,3
0739-UUAJR,0
0742-LAFQK,0
0742-MOABM,3
0742-NXBGR,4
0743-HNPFG,0
0743-HRVFF,3
0744-BIKKF,0
0746-JTRFU,1
0748-RDGGM,0
0749-IRGQE,3
0750-EBAIU,2
0750-EKNGL,0
