Customer ID,Churn Category
0002-ORFBO,1
0014-BMAQU,1
0103-CSITQ,1
0164-APGRB,1
0196-JTUQI,1
0201-OAMXR,1
0239-OXEXL,1
0295-QVKPB,1
0302-JOIVN,1
0311-UNPFF,1
0327-WFZSY,1
0337-CNPZE,1
0347-UBKUZ,1
0366-NQSHS,1
0378-TOVMS,1
0397-GZBBC,1
0409-WTMPL,1
0420-TXVSG,1
0426-TIRNE,1
0440-QEXBZ,1
0463-TXOAK,1
0464-WJTKO,1
0479-HMSWA,1
0496-AHOOK,1
0523-VNGTF,1
0562-FGDCR,1
0581-MDMPW,1
0584-BJQGZ,1
0594-UFTUL,1
0596-BQCEQ,1
0617-FHSGK,1
0650-BWOZN,1
0723-FDLAY,1
0723-VSOBE,1
0746-JTRFU,1
0771-WLCLA,1
0774-IFUVM,1
0774-RMNUW,1
0786-IVLAW,1
0820-FNRNX,1
0822-GAVAP,1
0842-IWYCP,1
0871-OPBXW,1
0902-RFHOF,1
0928-JMXNP,1
0945-TSONX,1
0947-IDHRQ,1
0959-WHOKV,1
0983-TATYJ,1
1017-FBQMM,1
1060-ENTOF,1
1088-AUUZZ,1
1094-BKOSX,1
1154-HYWWO,1
1241-EZFMJ,1
1310-QRITU,1
1334-PDUKM,1
1335-HQMKX,1
1335-MXCSE,1
1335-NTIUC,1
1342-JPNKI,1
1356-MKYSK,1
1360-XFJMR,1
1370-GGAWX,1
1402-PTHGN,1
1429-UYJSV,1
1455-HFBXA,1
1478-VPOAD,1
1508-DFXCU,1
1539-LNKHM,1
1561-BWHIN,1
1599-EAHXY,1
1642-HMARX,1
1644-IRKSF,1
1657-DYMBM,1
1658-TJVOA,1
1697-NVVGY,1
1724-BQUHA,1
1744-JHKYS,1
1746-TGTWV,1
1839-FBNFR,1
1862-SKORY,1
1866-DIOQZ,1
1866-NXPSP,1
1910-FMXJM,1
1970-KKFWL,1
1971-DTCZB,1
2012-NWRPA,1
2014-MKGMH,1
2023-VQFDL,1
2027-DNKIV,1
2037-SGXHH,1
2041-JIJCI,1
2077-DDHJK,1
2082-OJVTK,1
2144-BFDSO,1
2208-NKVVH,1
2228-BZDEE,1
2235-DWLJU,1
2239-CFOUJ,1
2277-DJJDL,1
2293-IJWPS,1
2294-DMMUS,1
2332-EFBJY,1
2338-BQEZT,1
2360-RDGRO,1
2386-LAHRK,1
2403-BCASL,1
2408-TZMJL,1
2424-WVHPL,1
2430-USGXP,1
2433-KMEAS,1
2446-PLQVO,1
2479-BRAMR,1
2521-NPUZR,1
2550-AEVRU,1
2575-GFSOE,1
2589-AYCRP,1
2592-HODOV,1
2592-SEIFQ,1
2604-XVDAM,1
2656-FMOKZ,1
2660-EMUBI,1
2674-MIAHT,1
2676-ISHSF,1
2690-DVRVK,1
2722-VOJQL,1
2775-SEFEE,1
2789-HQBOU,1
2805-EDJPQ,1
2806-MLNTI,1
2842-JTCCU,1
2845-KDHVX,1
2851-STERV,1
2856-HYAPG,1
2869-ADAWR,1
2874-YXVVA,1
2884-GBPFB,1
2905-KFQUV,1
2920-RNCEZ,1
2959-EEXWB,1
3014-WJKSM,1
3023-GFLBR,1
3043-TYBNO,1
3055-OYMSE,1
3084-DOWLE,1
3130-ICDUP,1
3146-MSEGF,1
3154-CFSZG,1
3170-NMYVV,1
3178-CIFOT,1
3196-NVXLZ,1
3197-NNYNB,1
3211-AAPKX,1
3230-JCNZS,1
3237-AJGEH,1
3254-YRILK,1
3363-DTIVD,1
3363-EWLGO,1
3411-WLRSQ,1
3422-WJOYD,1
3452-FLHYD,1
3452-SRFEG,1
3481-JHUZH,1
3488-PGMQJ,1
3489-VSFRD,1
3500-NSDOA,1
3522-CDKHF,1
3530-VWVGU,1
3571-RFHAR,1
3583-EKAPL,1
3589-PPVKW,1
3655-SNQYZ,1
3680-CTHUH,1
3756-VNWDH,1
3778-FOAQW,1
3866-MDTUB,1
3870-SPZSI,1
3891-PUQOD,1
3892-NXAZG,1
3914-FDRHP,1
3926-CUQZX,1
3930-ZGWVE,1
3950-VPYJB,1
3963-RYFNS,1
4009-ALQFH,1
4026-SKKHW,1
4061-UKJWL,1
4078-SAYYN,1
4098-NAUKP,1
4163-KIUHY,1
4182-BGSIQ,1
4192-GORJT,1
4195-SMMNX,1
4226-KKDON,1
4236-UJPWO,1
4255-DDUOU,1
4282-MSACW,1
4285-GYRQC,1
4291-TPNFG,1
4304-XUMGI,1
4307-KTUMW,1
4316-XCSLJ,1
4332-MUOEZ,1
4342-HFXWS,1
4361-BKAXE,1
4361-JEIVL,1
4378-MYPGO,1
4404-HIBDJ,1
4450-YOOHP,1
4452-ROHMO,1
4501-VCPFK,1
4537-DKTAL,1
4547-KQRTM,1
4554-YGZIH,1
4566-GOLUK,1
4566-QVRRW,1
4598-ZADCK,1
4619-EVPHY,1
4629-NRXKX,1
4632-XJMEX,1
4636-JGAAI,1
4683-WYDOU,1
4686-GEFRM,1
4692-NNQRU,1
4701-AHWMW,1
4712-AUQZO,1
4737-HOBAX,1
4741-WWJQZ,1
4742-DRORA,1
4751-ERMAN,1
4760-XOHVN,1
4781-ZXYGU,1
4786-UKSNZ,1
4808-YNLEU,1
